StudentNumber,Gender,Year,Semester,CourseCode,TotalGrade,GradeonDiscussionForumAccumulatedpoints,GradeonDiscussionLeader,GradeonAssignment1,GradeonAssignment2,GradeonFinalPaper,TotalTimeStudentsspentinCourseonSundays,TotalTimeStudentsspentinCourseonMondays,TotalTimeStudentsspentinCourseonTuesdays,TotalTimeStudentsspentinCourseonWednesdays,TotalTimeStudentsspentinCourseonThursdays,TotalTimeStudentsspentinCourseonFridays,TotalTimeStudentsspentinCourseonSaturdays,TotalTimeStudentsspentinCourseinHours,AverageTimeinCourseinHours,TotalLogins,TotalitemsAccessed,TotaltimespentonAssignment1inHours,NumberofTimesAssignment1Accessed,TotaltimespentonAssignment2inHours,NumberofTimesAssignment2Accessed,TotaltimespentonAssignmentscontentfolderinHours,NumberofTimesAssignmentscontentfolderAccessed,TotaltimespentonFinalPaperinHours,NumberofTimesFinalPaperAccessed,TotaltimespentonReadingfortheCourse,NumberofTimesReadingforthecourseAccessed,TotaltimespentonWeek1Readingsinhrs,NumberofTimesWeek1RdgsAccessed,TotaltimespentonWeek2Readingsinhrs,NumberofTimesWeek2RdgsAccessed,TotaltimespentonWeek3Readingsinhrs,NumberofTimesWeek3RdgsAccessed,TotaltimespentonWeek4Readingsinhrs,NumberofTimesWeek4RdgsAccessed,TotaltimespentonWeek5Readingsinhrs,NumberofTimesWeek5RdgsAccessed,TotaltimespentonWeek6Readingsinhrs,NumberofTimesWeek6RdgsAccessed,TotaltimespentonWeek7Readingsinhrs,NumberofTimesWeek7RdgsAccessed,TotaltimespentonWeek8Readingsinhrs,NumberofTimesWeek8RdgsAccessed,TotaltimespentonWeek9Readingsinhrs,NumberofTimesWeek9RdgsAccessed,TotaltimespentonWeek10Readingsinhrs,NumberofTimesWeek10RdgsAccessed,TotaltimespentonSyllabusinhrs,NumberofTimesSyllabusAccessed,TotaltimespentonWeeklyContentinhrs,NumberofTimesWeeklyContentAccessed,TotaltimespentonWeeklyContentforWeeks9and10,NumberofTimesWeeklycontentwk9andwk10Accessed,TotalHitsonContentAreaApp,TotalHitsinsideContentAreas,HitsonContent,HitsonInformation,HitsonBboardHelp,HitsonAssignment,HitsonCourseResources,HitsonQuiz,HitsonSyllabus,HitsonDocuments,HitsonReadings,Hitsonbooks,HitsonEReserves,HitsonFinalPaper,HitsonMessages,HitsonFirstSteps,HitsonRoster,hitsonParticipation,HitsonSubmittingWork,HitsonWebLinksampother,HitsonTasks,HitsonWebSitesampother,HitsonStaffInformation,HitsonToolsAreaApp,TotalHitsonMyGradesApp,TotalHitsonAnnouncementApp,TotalHitsonDBApp,DBDiscussionLeaderSignupboardMFhits,DBGeneralQuestionsMFhits,DBIntroductionMFhits,DBWaterCoolerMFHits,DBWeek1MFhits,DBWeek2MFhits,DBWeek3MFhits,DBWeek4MFhits,DBWeek5MFhits,DBWeek6MFhits,DBWeek7MFhits,DBWeek8MFhits,DBWeek9MFhits,DBWeek10MFhits,TotalDBMFhits,DBDiscussionLeaderSignupboardNumberofposts,DBGeneralQuestionsNumberofposts,DBIntroductionNumberofposts,DBWaterCoolerNumberofposts,DBWeek1Numberofposts,DBWeek2Numberofposts,DBWeek3Numberofposts,DBWeek4Numberofposts,DBWeek5Numberofposts,DBWeek6Numberofposts,DBWeek7Numberofposts,DBWeek8Numberofposts,DBWeek9Numberofposts,DBWeek10Numberofposts,TotalNumberofDBposts,TotalUserActivityInsideContentAreas
124,#NULL!,2013,Fall,13,#NULL!,39.5000,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,0.0,0.0,2,0,2.0,3.0,2.0,3.0,4.0,4.0,3.0,4.0,5.0,6,38.0,#NULL!,0,2,#NULL!,2,3,2,3,4,4,3,4,5,7,39,#NULL!
125,#NULL!,2013,Fall,13,#NULL!,39.5000,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,0.0,0.0,2,0,2.0,2.0,2.0,3.0,4.0,4.0,3.0,4.0,5.0,7,38.0,#NULL!,0,4,#NULL!,2,2,4,3,4,4,3,4,5,7,42,#NULL!
126,#NULL!,2013,Fall,13,#NULL!,39.5000,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,0.0,0.0,2,0,2.0,3.0,2.0,3.0,5.0,4.0,4.0,4.0,5.0,7,41.0,#NULL!,0,3,#NULL!,2,3,2,3,5,6,4,4,5,7,44,#NULL!
127,#NULL!,2013,Fall,13,#NULL!,39.5000,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,0.0,0.0,2,0,2.0,3.0,2.0,3.0,4.0,4.0,3.0,4.0,5.0,6,38.0,#NULL!,0,3,#NULL!,2,5,2,3,4,4,3,5,6,6,43,#NULL!
128,#NULL!,2013,Fall,13,#NULL!,40.0000,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,0.0,0.0,3,0,2.0,3.0,3.0,3.0,4.0,6.0,5.0,5.0,5.0,6,45.0,#NULL!,0,5,#NULL!,2,6,6,3,6,6,10,8,9,6,67,#NULL!
129,#NULL!,2013,Fall,13,#NULL!,39.5000,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,0.0,1.0,2,0,2.0,4.0,2.0,4.0,4.0,3.0,3.0,4.0,5.0,6,40.0,#NULL!,1,2,#NULL!,2,4,2,4,4,3,3,4,5,6,40,#NULL!
130,#NULL!,2013,Fall,13,#NULL!,39.5000,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,0.0,0.0,3,0,2.0,4.0,2.0,3.0,4.0,4.0,3.0,4.0,5.0,6,40.0,#NULL!,0,5,#NULL!,2,4,2,4,4,4,4,4,6,6,45,#NULL!
131,#NULL!,2013,Fall,13,#NULL!,40.0000,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,0.0,0.0,3,0,2.0,5.0,2.0,3.0,4.0,6.0,3.0,4.0,5.0,6,43.0,#NULL!,0,5,#NULL!,2,5,2,3,4,6,9,4,5,6,51,#NULL!
132,#NULL!,2013,Fall,13,#NULL!,40.0000,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,0.0,2.0,3,0,2.0,3.0,2.0,3.0,4.0,6.0,4.0,5.0,5.0,6,45.0,#NULL!,2,4,#NULL!,2,5,5,3,17,13,7,10,7,9,84,#NULL!
133,#NULL!,2013,Fall,13,#NULL!,12.0000,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,0.0,0.0,2,0,2.0,3.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0,10.0,#NULL!,0,3,#NULL!,2,3,0,3,0,0,0,0,0,0,11,#NULL!
134,#NULL!,2013,Fall,13,#NULL!,40.0000,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,0.0,0.0,1,0,3.0,6.0,2.0,3.0,5.0,4.0,4.0,4.0,5.0,6,43.0,#NULL!,0,5,#NULL!,3,6,2,3,7,7,6,5,6,8,58,#NULL!
135,#NULL!,2013,Fall,13,89,36.7500,#NULL!,14,30,10,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,0.0,0.0,2,0,1.0,3.0,2.0,3.0,4.0,1.0,3.0,4.0,5.0,5,33.0,#NULL!,0,6,#NULL!,1,3,3,4,7,1,3,4,5,6,43,#NULL!
136,#NULL!,2013,Fall,13,#NULL!,39.5000,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,0.0,0.0,2,0,3.0,3.0,2.0,2.0,4.0,4.0,3.0,4.0,5.0,6,38.0,#NULL!,0,3,#NULL!,2,3,2,2,4,4,3,4,5,6,38,#NULL!
137,#NULL!,2013,Fall,13,#NULL!,40.0000,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,0.0,2.0,2,0,2.0,3.0,2.0,3.0,4.0,4.0,3.0,4.0,5.0,7,41.0,#NULL!,2,3,#NULL!,2,12,3,3,4,6,3,5,5,7,55,#NULL!
138,#NULL!,2013,Fall,13,98,39.5000,#NULL!,16,33,10,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,0.0,2.0,3,0,2.0,3.0,3.0,2.0,4.0,4.0,3.0,4.0,5.0,6,41.0,#NULL!,2,4,#NULL!,2,6,3,2,5,6,3,4,5,6,48,#NULL!
139,#NULL!,2014,Summer,19,96,39.6000,10,5,9,33,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,804,67,0,0,#NULL!,34,#NULL!,#NULL!,26,#NULL!,7,#NULL!,#NULL!,#NULL!,0,#NULL!,0,#NULL!,#NULL!,0,0,#NULL!,0,5,3,113,613,0.0,0.0,#NULL!,0,2.0,10.0,9.0,8.0,9.0,12.0,10.0,11.0,10.0,2,83.0,#NULL!,2,#NULL!,0,5,5,11,13,12,17,10,18,8,1,102,#NULL!
140,#NULL!,2014,Summer,19,85,34.3500,9,4,9,30,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,373,53,0,0,#NULL!,31,#NULL!,#NULL!,20,#NULL!,2,#NULL!,#NULL!,#NULL!,0,#NULL!,0,#NULL!,#NULL!,0,0,#NULL!,0,0,0,81,239,0.0,1.0,#NULL!,0,1.0,2.0,6.0,7.0,6.0,9.0,5.0,9.0,4.0,1,51.0,#NULL!,0,#NULL!,0,5,7,8,6,6,9,6,9,7,2,65,#NULL!
141,#NULL!,2014,Summer,19,100,40.0000,10,5,10,35,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,1343,69,0,0,#NULL!,41,#NULL!,#NULL!,12,#NULL!,10,#NULL!,#NULL!,#NULL!,0,#NULL!,2,#NULL!,#NULL!,6,0,#NULL!,1,10,0,175,1086,0.0,0.0,#NULL!,0,4.0,7.0,7.0,6.0,6.0,9.0,6.0,9.0,7.0,2,63.0,#NULL!,0,#NULL!,0,3,5,8,6,7,2,8,11,4,2,56,#NULL!
142,#NULL!,2014,Summer,19,92,36.8000,10,5,9,31,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,965,112,0,0,#NULL!,65,#NULL!,#NULL!,37,#NULL!,7,#NULL!,#NULL!,#NULL!,0,#NULL!,0,#NULL!,#NULL!,3,0,#NULL!,0,2,5,118,728,0.0,0.0,#NULL!,0,2.0,5.0,8.0,6.0,7.0,1.0,8.0,10.0,4.0,2,53.0,#NULL!,0,#NULL!,0,0,0,0,0,0,0,0,0,0,0,0,#NULL!
143,#NULL!,2014,Summer,19,91,36.7500,10,4,8,33,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,3349,104,0,0,#NULL!,104,#NULL!,#NULL!,36,#NULL!,24,#NULL!,#NULL!,#NULL!,0,#NULL!,0,#NULL!,#NULL!,5,0,#NULL!,5,8,8,1049,2110,0.0,0.0,#NULL!,4,4.0,5.0,7.0,6.0,4.0,11.0,4.0,7.0,5.0,3,60.0,#NULL!,0,#NULL!,0,0,0,0,0,0,0,0,0,0,0,0,#NULL!
144,#NULL!,2014,Summer,19,95,38.5000,9,4,9,35,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,275,19,0,0,#NULL!,13,#NULL!,#NULL!,3,#NULL!,3,#NULL!,#NULL!,#NULL!,0,#NULL!,0,#NULL!,#NULL!,0,1,#NULL!,3,14,12,29,197,0.0,2.0,#NULL!,0,6.0,7.0,6.0,5.0,7.0,10.0,5.0,9.0,5.0,2,64.0,#NULL!,2,#NULL!,0,6,7,7,6,7,10,5,9,5,2,66,#NULL!
