StudentNumber,Gender,Year,Semester,CourseCode,TotalGrade,GradeonDiscussionForumAccumulatedpoints,GradeonDiscussionLeader,GradeonAssignment1,GradeonAssignment2,GradeonFinalPaper,TotalTimeStudentsspentinCourseonSundays,TotalTimeStudentsspentinCourseonMondays,TotalTimeStudentsspentinCourseonTuesdays,TotalTimeStudentsspentinCourseonWednesdays,TotalTimeStudentsspentinCourseonThursdays,TotalTimeStudentsspentinCourseonFridays,TotalTimeStudentsspentinCourseonSaturdays,TotalTimeStudentsspentinCourseinHours,AverageTimeinCourseinHours,TotalLogins,TotalitemsAccessed,TotaltimespentonAssignment1inHours,NumberofTimesAssignment1Accessed,TotaltimespentonAssignment2inHours,NumberofTimesAssignment2Accessed,TotaltimespentonAssignmentscontentfolderinHours,NumberofTimesAssignmentscontentfolderAccessed,TotaltimespentonFinalPaperinHours,NumberofTimesFinalPaperAccessed,TotaltimespentonReadingfortheCourse,NumberofTimesReadingforthecourseAccessed,TotaltimespentonWeek1Readingsinhrs,NumberofTimesWeek1RdgsAccessed,TotaltimespentonWeek2Readingsinhrs,NumberofTimesWeek2RdgsAccessed,TotaltimespentonWeek3Readingsinhrs,NumberofTimesWeek3RdgsAccessed,TotaltimespentonWeek4Readingsinhrs,NumberofTimesWeek4RdgsAccessed,TotaltimespentonWeek5Readingsinhrs,NumberofTimesWeek5RdgsAccessed,TotaltimespentonWeek6Readingsinhrs,NumberofTimesWeek6RdgsAccessed,TotaltimespentonWeek7Readingsinhrs,NumberofTimesWeek7RdgsAccessed,TotaltimespentonWeek8Readingsinhrs,NumberofTimesWeek8RdgsAccessed,TotaltimespentonWeek9Readingsinhrs,NumberofTimesWeek9RdgsAccessed,TotaltimespentonWeek10Readingsinhrs,NumberofTimesWeek10RdgsAccessed,TotaltimespentonSyllabusinhrs,NumberofTimesSyllabusAccessed,TotaltimespentonWeeklyContentinhrs,NumberofTimesWeeklyContentAccessed,TotaltimespentonWeeklyContentforWeeks9and10,NumberofTimesWeeklycontentwk9andwk10Accessed,TotalHitsonContentAreaApp,TotalHitsinsideContentAreas,HitsonContent,HitsonInformation,HitsonBboardHelp,HitsonAssignment,HitsonCourseResources,HitsonQuiz,HitsonSyllabus,HitsonDocuments,HitsonReadings,Hitsonbooks,HitsonEReserves,HitsonFinalPaper,HitsonMessages,HitsonFirstSteps,HitsonRoster,hitsonParticipation,HitsonSubmittingWork,HitsonWebLinksampother,HitsonTasks,HitsonWebSitesampother,HitsonStaffInformation,HitsonToolsAreaApp,TotalHitsonMyGradesApp,TotalHitsonAnnouncementApp,TotalHitsonDBApp,DBDiscussionLeaderSignupboardMFhits,DBGeneralQuestionsMFhits,DBIntroductionMFhits,DBWaterCoolerMFHits,DBWeek1MFhits,DBWeek2MFhits,DBWeek3MFhits,DBWeek4MFhits,DBWeek5MFhits,DBWeek6MFhits,DBWeek7MFhits,DBWeek8MFhits,DBWeek9MFhits,DBWeek10MFhits,TotalDBMFhits,DBDiscussionLeaderSignupboardNumberofposts,DBGeneralQuestionsNumberofposts,DBIntroductionNumberofposts,DBWaterCoolerNumberofposts,DBWeek1Numberofposts,DBWeek2Numberofposts,DBWeek3Numberofposts,DBWeek4Numberofposts,DBWeek5Numberofposts,DBWeek6Numberofposts,DBWeek7Numberofposts,DBWeek8Numberofposts,DBWeek9Numberofposts,DBWeek10Numberofposts,TotalNumberofDBposts,TotalUserActivityInsideContentAreas
11,#NULL!,2014,Spring,1,97,24.0000,16,15,14,28,11,2,5,9,9,3,10,48,7,104,12,0,10,0,7,4,26,0,4,2,23,0,0,1,5,0,0,0,1,0,0,1,5,0,0,0,3,0,2,0,0,3,10,9,60,0,0,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,0.0,0.0,1,0,5.0,4.0,11.0,7.0,7.0,4.0,5.0,4.0,22.0,0,70.0,#NULL!,#NULL!,1,0,5,4,12,7,7,4,5,4,22,5,76,#NULL!
12,#NULL!,2014,Spring,1,90,22.0000,14,15,12,27,7,7,6,6,1,1,#NULL!,27,5,90,17,0,5,0,2,4,13,0,2,4,35,0,0,0,4,0,0,2,5,0,3,1,3,0,0,0,3,0,2,0,3,0,3,3,38,0,2,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,1.0,1.0,1,0,4.0,4.0,3.0,5.0,2.0,4.0,4.0,5.0,4.0,8,46.0,1,1,1,0,4,4,3,4,2,4,4,5,4,9,46,#NULL!
13,#NULL!,2014,Spring,1,90,22.0000,15,14,13,26,6,5,3,10,0,0,2,27,4,62,13,0,1,0,2,2,13,0,0,2,25,0,0,0,1,0,0,3,5,0,5,1,1,0,0,0,1,0,2,0,0,3,7,1,10,0,1,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,1.0,0.0,1,0,1.0,4.0,6.0,11.0,4.0,3.0,4.0,3.0,3.0,0,41.0,1,#NULL!,1,0,1,4,5,11,4,3,4,3,3,2,42,#NULL!
14,#NULL!,2014,Spring,1,90,24.0000,14,14,12,26,9,1,3,14,3,6,4,39,6,68,16,1,2,0,2,1,23,0,1,0,13,0,0,0,1,0,0,1,4,1,15,1,2,0,0,2,2,2,2,0,1,2,8,1,30,0,4,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,1.0,0.0,1,0,2.0,5.0,9.0,4.0,4.0,8.0,5.0,5.0,5.0,1,50.0,2,#NULL!,1,0,2,5,9,4,4,8,5,5,5,7,57,#NULL!
15,#NULL!,2014,Spring,1,96,24.0000,15,13,14,30,0,4,4,5,9,1,3,25,4,42,12,0,1,0,2,0,7,0,1,0,8,0,0,0,3,0,0,0,3,0,1,0,1,0,0,0,0,0,0,0,0,1,1,6,21,0,3,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,0.0,1.0,0,0,2.0,3.0,3.0,10.0,3.0,3.0,3.0,3.0,3.0,3,37.0,1,2,2,0,2,3,3,10,3,3,3,3,3,4,42,#NULL!
16,#NULL!,2014,Spring,1,86,20.0000,10,15,14,27,3,4,5,12,4,1,3,32,5,80,14,0,1,0,2,0,6,0,0,2,26,0,0,0,3,0,0,1,5,0,3,0,4,0,0,1,2,1,4,0,2,0,2,7,47,2,4,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,1.0,0.0,1,0,2.0,3.0,3.0,1.0,4.0,5.0,3.0,3.0,4.0,2,32.0,1,#NULL!,1,0,2,3,3,1,4,5,3,3,4,4,34,#NULL!
17,#NULL!,2014,Spring,1,91,24.0000,15,14,12,26,2,6,1,1,6,2,3,21,3,40,12,0,3,0,2,1,14,0,2,1,15,0,0,3,3,0,0,1,4,1,2,0,1,0,0,0,1,0,0,0,1,0,0,1,4,0,0,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,0.0,0.0,0,0,2.0,3.0,3.0,3.0,7.0,5.0,5.0,4.0,5.0,2,39.0,1,#NULL!,2,0,2,3,3,3,7,5,5,4,5,5,45,#NULL!
18,#NULL!,2014,Spring,1,91,23.0000,15,13,15,25,11,3,3,7,5,2,2,33,5,53,12,0,4,0,2,1,10,0,1,0,16,0,0,0,4,0,0,0,1,0,3,0,1,0,0,0,0,0,0,0,1,1,7,0,13,0,0,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,1.0,1.0,0,0,7.0,8.0,12.0,5.0,9.0,6.0,8.0,3.0,5.0,4,69.0,2,2,1,0,8,6,11,5,9,6,8,2,5,4,69,#NULL!
19,#NULL!,2014,Spring,2,91,37.6500,18,9,20,6,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,36,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,0.0,0.0,0,0,4.0,0.0,6.0,7.0,6.0,6.0,6.0,4.0,7.0,3,49.0,#NULL!,0,#NULL!,0,3,#NULL!,1,1,3,3,2,0,2,4,19,#NULL!
20,#NULL!,2014,Spring,2,100,38.6000,18,9,20,15,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,28,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,0.0,0.0,0,0,4.0,0.0,5.0,5.0,5.0,8.0,6.0,6.0,5.0,4,48.0,#NULL!,0,#NULL!,0,6,#NULL!,0,0,0,3,0,1,0,19,29,#NULL!
